particle_positions_x,particle_positions_y,particle_positions_z,noisy_particle_positions_x,noisy_particle_positions_y,noisy_particle_positions_z,counts_it1000,counts_it10000,counts_it100000,counts_it1000000,counts_it10000000,counts_it10001,counts_it100001,counts_it1000001,counts_it10000001,counts_it10002,counts_it100002,counts_it1000002,counts_it10000002,noisy_counts_it10000,noisy_counts_it100000,noisy_counts_it1000000,noisy_counts_it1000,noisy_counts_it10000000,nomad_run1,nomad_run2,nomad_run3,nomad_run4,nomad_run5,counts_it1000000,nomad_run5_2,nomad_run6,nomad_run7,nomad_run8,nomad_run9,nomad_run11,nomad_run12
0,0,0.02,-0.005721646271846,0.000692712457418,0.019216725306602,2944.86,2931.73,2957.39,2947.23,2948.54,3010.48,2961.45,2942.98,2949.61,3033.93,2925.41,2949.37,2948.18,2691.31,2658.9,2659.25,2607.13,2659.54,2951.18,2950.2,2955.88,2965.31,2947.4,2947.23,2948.22,2947.41,2941.72,2917.64,2929.35,2947.26,2947.36
0,0.06,0.02,-6.39178507032224E-05,0.062683188064498,0.022117310919105,2940.66,2917.96,2930.97,2927.36,2927.5,2930.39,2905.42,2927.71,2930.53,2951.73,2927.21,2930.81,2927.97,2947.13,2944.74,2937.65,2874.66,2940.1,2928.75,2929.71,2937.49,2937.91,2928.58,2927.36,2929.36,2928.53,2919.71,2887.35,2909.8,2926.56,2926.35
0.0212132,0.0212132,0.02,0.018082196104809,0.021869552453002,0.019378372576995,4357.99,4293.76,4320.78,4309.49,4309.08,4309.89,4328.41,4303.79,4310.69,4313.42,4316.97,4320.17,4307.65,4062.91,4067.73,4064.29,4087.64,4064.33,4315.06,4322.52,4329.89,4310.51,4318.85,4309.49,4316.97,4322.44,4308.54,4271.31,4289.83,4314.19,4309.86
0.0636396,0.0636396,0.02,0.062329760556003,0.064922017014239,0.01815023462734,9998.74,10140.9,10111.3,10123,10133.7,10125.6,10106.8,10117,10134.5,10082.6,10162.2,10127.6,10128.8,9824.74,9854.58,9868.03,9794.44,9862.24,10134.9,10244,10178.7,10048.3,10164.1,10123,10165.6,10204.7,10221.6,10327.8,10165.7,10175.8,10129.7
0.06,0,0.02,0.062387291103835,-0.000641543732,0.020566506756488,9212.95,8854.33,8917.7,8921.95,8923.15,8881.98,8910.67,8931.37,8916.6,8959.42,8937.41,8913.41,8925.51,9314.43,9348.53,9364.29,9415.01,9358.08,8925.94,9006.06,8944.35,8883.59,8935.69,8921.95,8937.22,8957.69,8967.99,9074.73,8933.62,8944.17,8917.84
0.0212132,-0.0212132,0.02,0.021150730177941,-0.021518299562951,0.01840454759544,4272.86,4331.54,4305.19,4309.04,4311.38,4353.29,4310.26,4319.56,4311.2,4273.8,4309.73,4310.72,4307.97,4302.39,4284.02,4293.88,4304.51,4287.66,4311.45,4322.65,4334.25,4312.08,4316.27,4309.04,4316.68,4323.96,4309.6,4273.72,4287.88,4318.46,4310.25
0.0636396,-0.0636396,0.02,0.064943764675396,-0.065033851226857,0.020276894235354,10208.9,10086.4,10145.5,10135.9,10135.3,10126.5,10065.6,10151.5,10133.9,10143.4,10121.2,10172.9,10138.3,10589,10508.9,10511.1,10555.5,10514.5,10131.8,10255.8,10180.9,10038.5,10167.5,10135.9,10169.2,10203.7,10205.2,10327.5,10164.3,10171.3,10139
0,-0.06,0.02,-0.000142247766292,-0.061579646657633,0.016700405075081,2956.69,2903.45,2926.16,2926.41,2927.15,2922.06,2914.12,2930.96,2924.92,2879.32,2914.94,2928.11,2929.57,2902.3,2904.16,2900.04,2926.13,2898.86,2927.4,2931.91,2936.24,2936.42,2928.56,2926.41,2928.74,2929.21,2919,2891.57,2910.15,2925.63,2927.19
-0.0212132,-0.0212132,0.02,-0.025411508609836,-0.024968989653284,0.017121245740792,2060.92,2018.55,2032.09,2029.47,2029.3,1980.23,2027.68,2029.1,2030.03,2073.68,2014.21,2027.07,2028.75,1875.06,1873.52,1875.22,1923.47,1874.12,2031.78,2027.03,2026.37,2052.53,2025.48,2029.47,2024.63,2020.48,2019.86,2012.94,2011.9,2022.19,2031.08
-0.0636396,-0.0636396,0.02,-0.065710808826881,-0.061123710568789,0.021332755910142,945.12,978.881,981.146,979.448,979.738,990.045,979.645,981.072,979.592,970.273,982.975,979.031,979.267,950.669,949.898,950.561,945.151,949.827,980.449,976.821,970.761,1004.32,972.238,979.448,972.211,968.325,970.547,984.963,969.871,970.333,978.929
-0.06,0,0.02,-0.061988634973484,-0.004843080405082,0.020771097575667,1047.93,1058.96,1056.21,1058.08,1058.18,1062.75,1063.78,1056.58,1058.07,1074.75,1063.89,1056.1,1057.74,1019.83,1027.25,1025.78,1063.1,1025.3,1058.17,1054.99,1049.36,1084.41,1050.5,1058.08,1050.36,1046.2,1048.97,1062.33,1047.71,1048.96,1058.09
-0.0212132,0.0212132,0.02,-0.016990306428437,0.022362172003667,0.018278072202393,2061.48,2028.97,2026.88,2031.07,2029.2,2017.1,2041.19,2030.43,2029.15,2057.84,2034.46,2030.88,2029.23,2155.02,2170.84,2174.37,2108.07,2174.71,2030.71,2027.66,2027.37,2054.72,2025.11,2031.07,2024.35,2021.14,2019.06,2013.92,2013.31,2021.35,2029.54
-0.0636396,0.0636396,0.02,-0.061560232563159,0.064282272549758,0.018426426269619,1001.24,977.874,982.13,979.074,979.384,966.504,974.41,979.356,979.196,980.239,972.831,983.479,979.405,1006.94,1010.56,1011.09,1005.15,1010.74,981.009,976.319,970.725,1005.27,972.725,979.074,972.656,968.599,971.064,984.573,969.976,970.986,978.795
0,0.03,0.0436364,0.00244407277129,0.030563551078933,0.047329992762342,3061.35,3050.04,3071.99,3071.26,3070.41,3099.51,3068.78,3081.65,3071.03,3038.83,3073.78,3068.23,3068.34,3257.57,3226.56,3225.79,3232.38,3225.51,3071.49,3069.84,3078.22,3081.94,3070.96,3071.26,3071.08,3069.64,3064.92,3037.13,3047.01,3065.47,3067.94
0,0.09,0.0436364,-0.004071579359793,0.093800041473063,0.044543321782965,3168.36,3203.68,3176.99,3186.18,3185.39,3160.63,3218.93,3188.72,3188.01,3226.09,3192.58,3172.2,3183.69,2965.59,2989.89,2987.45,2988.15,2988.55,3183.31,3190.53,3204.54,3182.38,3190.32,3186.18,3190.9,3193.86,3182.24,3130.5,3167.09,3188.93,3187.3
0.0424264,0.0424264,0.0436364,0.041290863119206,0.041025484792143,0.0433511945799,6663.1,6676.34,6742.82,6741.06,6743.45,6656.38,6790.11,6731.31,6739.32,6585.08,6823.77,6722.06,6738.66,6570.01,6584.97,6590.27,6718.81,6590.68,6741.75,6783.8,6776.86,6707.28,6758.87,6741.06,6757.41,6776.59,6755.94,6752.31,6732.54,6760.47,6741.23
0.03,0,0.0436364,0.029904136283274,-0.003175860281371,0.043611878125068,5283.96,5371.9,5380.28,5392.14,5392.29,5363.12,5452.09,5369.79,5390.22,5323.99,5378.68,5383.67,5395.73,5348.88,5389.54,5387.72,5362.88,5381.65,5389.69,5421.95,5410.63,5390.24,5394.21,5392.14,5400.32,5410.52,5401.33,5374.43,5372.96,5402.18,5392.31
