particle_positions_x particle_positions_y particle_positions_z detector_id counts
0.00625 -0.0998045 0.1 0 4965.89
0.00138846 -0.09241 0.1 0 4439.61
-0.00309306 -0.0847792 0.1 0 4097.94
-0.00718309 -0.0769316 0.1 0 3850.08
-0.0108712 -0.0688873 0.1 0 3660.04
-0.0141479 -0.0606669 0.1 0 3509.92
-0.0170049 -0.0522913 0.1 0 3389.29
-0.0194348 -0.0437819 0.1 0 3297.09
-0.0214314 -0.0351607 0.1 0 3238.68
-0.0229897 -0.0264495 0.1 0 3205.85
-0.0241056 -0.0176706 0.1 0 3180.14
-0.0247762 -0.00884663 0.1 0 3165.19
-0.025 0 0.1 0 3160.94
-0.0247762 0.00884663 0.1 0 3166.27
-0.0241056 0.0176706 0.1 0 3176.05
-0.0229897 0.0264495 0.1 0 3207.96
-0.0214314 0.0351607 0.1 0 3236.53
-0.0194348 0.0437819 0.1 0 3294.69
-0.0170049 0.0522913 0.1 0 3388.67
-0.0141479 0.0606669 0.1 0 3509.77
-0.0108712 0.0688873 0.1 0 3658.62
-0.00718309 0.0769316 0.1 0 3849.57
-0.00309306 0.0847792 0.1 0 4100.88
0.00138846 0.09241 0.1 0 4442.44
0.00625 0.0998045 0.1 0 4959.27
0.00638593 0 0 0 3989.86
0.00150384 0 0.0074047 0 3832.81
-0.00299683 0 0.0150472 0 3696.63
-0.0071045 0 0.022908 0 3575.6
-0.0108086 0 0.0309668 0 3468.99
-0.0140997 0 0.0392029 0 3376.3
-0.0169693 0 0.0475951 0 3301.11
-0.0194099 0 0.056122 0 3244.76
-0.0214154 0 0.0647616 0 3204.2
-0.0229807 0 0.0734917 0 3186.58
-0.0241016 0 0.0822899 0 3171.51
-0.0247752 0 0.0911335 0 3165
-0.025 0 0.1 0 3160.4
-0.0247752 0 0.108866 0 3163.12
-0.0241016 0 0.11771 0 3171.31
-0.0229807 0 0.126508 0 3187.65
-0.0214154 0 0.135238 0 3209.24
-0.0194099 0 0.143878 0 3239.7
-0.0169693 0 0.152405 0 3305.01
-0.0140997 0 0.160797 0 3379.37
-0.0108086 0 0.169033 0 3468.39
-0.0071045 0 0.177092 0 3576.17
-0.00299683 0 0.184953 0 3693.04
0.00150384 0 0.192595 0 3834.4
0.00638593 0 0.2 0 3994.27
0.035405 -0.0935227 0.00647734 0 7973.03
0.0262611 -0.0875034 0.0124966 0 5899.63
0.0177479 -0.0810382 0.0189618 0 5052.93
0.00990861 -0.07416 0.02584 0 4513.39
0.0027833 -0.0669038 0.0330962 0 4124.91
-0.00359176 -0.0593067 0.0406933 0 3836.43
-0.00918406 -0.0514074 0.0485926 0 3616.41
-0.0139651 -0.043246 0.056754 0 3445.39
-0.0179106 -0.0348643 0.0651357 0 3316.48
-0.0210003 -0.0263049 0.0736951 0 3227.61
-0.0232186 -0.0176114 0.0823886 0 3189.53
-0.0245541 -0.00882821 0.0911718 0 3165.91
-0.025 3.60822e-16 0.1 0 3160.72
-0.0245541 0.00882821 0.108828 0 3164.9
-0.0232186 0.0176114 0.117611 0 3183.84
-0.0210003 0.0263049 0.126305 0 3235.27
-0.0179106 0.0348643 0.134864 0 3315.01
-0.0139651 0.043246 0.143246 0 3447.85
-0.00918406 0.0514074 0.151407 0 3617.39
-0.00359176 0.0593067 0.159307 0 3835.89
0.0027833 0.0669038 0.166904 0 4128.92
0.00990861 0.07416 0.17416 0 4514.73
0.0177479 0.0810382 0.181038 0 5055.66
0.0262611 0.0875034 0.187503 0 5904.3
0.035405 0.0935227 0.193523 0 7984.38
0.0973684 -0.0227901 0.0736842 0 40724.7
0.0912281 -0.025449 0.070614 0 34415.9
0.0850877 -0.0281078 0.0675439 0 29245.6
0.0789474 -0.0307667 0.0644737 0 24876.6
0.072807 -0.0334255 0.0614035 0 21219.1
0.0666667 -0.0360844 0.0583333 0 18165.9
0.0605263 -0.0387432 0.0552632 0 15535.5
0.054386 -0.0414021 0.052193 0 13344.3
0.0482456 -0.0440609 0.0491228 0 11485.6
0.0421053 -0.0467198 0.0460526 0 9900.77
0.0359649 -0.0493786 0.0429825 0 8559.61
0.0298246 -0.0520375 0.0399123 0 7413.22
0.0236842 -0.0546963 0.0368421 0 6429.09
0.0175439 -0.0573552 0.0337719 0 5600.71
0.0114035 -0.060014 0.0307018 0 4870.29
0.00526316 -0.0626729 0.0276316 0 4258.61
-0.000877193 -0.0653317 0.0245614 0 3721.13
-0.00701754 -0.0679906 0.0214912 0 3261.95
-0.0131579 -0.0706494 0.0184211 0 2861
-0.0192982 -0.0733083 0.0153509 0 2515.91
-0.0254386 -0.0759671 0.0122807 0 2213.4
-0.0315789 -0.078626 0.00921053 0 1951.51
-0.0377193 -0.0812848 0.00614035 0 1721.59
-0.0438596 -0.0839437 0.00307018 0 1522.09
-0.05 -0.0866025 0 0 1349.02
-0.1 0 0.1 0 825.316
-0.0916667 0 0.1 0 950.241
-0.0833333 0 0.1 0 1097.21
-0.075 0 0.1 0 1266.68
-0.0666667 0 0.1 0 1467.32
-0.0583333 0 0.1 0 1703.68
-0.05 0 0.1 0 1980.57
-0.0416667 0 0.1 0 2308.76
-0.0333333 0 0.1 0 2698.71
-0.025 0 0.1 0 3161.55
-0.0166667 0 0.1 0 3713.84
-0.00833333 0 0.1 0 4370.71
0 0 0.1 0 5167.91
0.00833333 0 0.1 0 6122.82
0.0166667 0 0.1 0 7284.4
0.025 0 0.1 0 8693.56
0.0333333 0 0.1 0 10400.8
0.0416667 0 0.1 0 12493.9
0.05 0 0.1 0 15067.3
0.0583333 0 0.1 0 18239.7
0.0666667 0 0.1 0 22096.2
0.075 0 0.1 0 26859.9
0.0833333 0 0.1 0 32677.2
0.0916667 0 0.1 0 39766.4
0.1 0 0.1 0 48273.4
