particle_positions_x particle_positions_y particle_positions_z detector_id counts
-0.00572165 0.000692712 0.0192167 0 2659.25
-6.39179e-05 0.0626832 0.0221173 0 2937.65
0.0180822 0.0218696 0.0193784 0 4064.29
0.0623298 0.064922 0.0181502 0 9868.03
0.0623873 -0.000641544 0.0205665 0 9364.29
0.0211507 -0.0215183 0.0184045 0 4293.88
0.0649438 -0.0650339 0.0202769 0 10511.1
-0.000142248 -0.0615796 0.0167004 0 2900.04
-0.0254115 -0.024969 0.0171212 0 1875.22
-0.0657108 -0.0611237 0.0213328 0 950.561
-0.0619886 -0.00484308 0.0207711 0 1025.78
-0.0169903 0.0223622 0.0182781 0 2174.37
-0.0615602 0.0642823 0.0184264 0 1011.09
0.00244407 0.0305636 0.04733 0 3225.79
-0.00407158 0.0938 0.0445433 0 2987.45
0.0412909 0.0410255 0.0433512 0 6590.27
0.0299041 -0.00317586 0.0436119 0 5387.72
0.0912912 -0.000649364 0.0477392 0 18075.5
0.0422074 -0.0419707 0.0425812 0 6701.96
-7.86836e-05 -0.0338694 0.0447587 0 3068.5
-0.00389054 -0.0882779 0.0458026 0 2942.9
-0.0412179 -0.0434463 0.0468754 0 1490.89
-0.0285567 -0.00194438 0.0447012 0 1877.9
-0.0912857 -0.000929977 0.0496363 0 665.546
-0.0428048 0.0418999 0.0471866 0 1451.69
-0.0008969 -0.00144282 0.066741 0 3145.76
-0.00166121 0.0610127 0.066795 0 3017.94
0.0241605 0.0193873 0.0699872 0 4971.26
0.0633586 0.065353 0.0648628 0 10948.8
0.0616921 -0.00161039 0.0660096 0 10325.2
0.0234575 -0.0256031 0.0661886 0 4881.42
0.0649713 -0.0653859 0.0670961 0 11362.3
0.001992 -0.0574617 0.066192 0 3224.59
-0.0236099 -0.0175687 0.0673949 0 2089.17
-0.0652365 -0.0625332 0.0644773 0 999.984
-0.0620491 -0.000544297 0.0709793 0 1088.67
-0.0216013 0.0185899 0.0675146 0 2161.73
-0.0633769 0.0628495 0.0713358 0 1031.6
-0.000882152 0.0291042 0.0897535 0 3090.5
0.0017046 0.0908548 0.0886783 0 3356.77
0.0422394 0.0431165 0.091606 0 6848.62
0.0292823 -0.00494709 0.0871409 0 5492.11
0.088313 0.00157726 0.0951682 0 17310
0.0435414 -0.0429204 0.0931494 0 7015.72
-0.000794001 -0.0303587 0.0932469 0 3077.76
-0.0020675 -0.090681 0.0885826 0 3114.24
-0.043748 -0.0441519 0.0889089 0 1441.78
-0.0316241 -0.00169627 0.0895567 0 1817.67
-0.0938816 0.00178271 0.0901852 0 643.635
-0.0410745 0.0415813 0.0929863 0 1507.53
0.00274152 -0.000197874 0.116775 0 3190.04
-0.000359987 0.0582439 0.114655 0 2995.04
0.0216985 0.0212977 0.111311 0 4539.35
0.0629792 0.0644472 0.11292 0 10446.9
0.061325 0.000865803 0.110961 0 9707.02
0.0210104 -0.0223711 0.116524 0 4432.48
0.0641369 -0.0632523 0.116888 0 10564.2
0.00496706 -0.059447 0.115659 0 3293.98
-0.0200889 -0.0240968 0.112784 0 2133.42
-0.0640204 -0.0666721 0.115537 0 993.314
-0.0627916 -9.05375e-05 0.112641 0 1039.04
-0.0177778 0.0231827 0.113199 0 2221.65
-0.0627663 0.0666267 0.112582 0 1019.18
0.00155283 0.0330434 0.139111 0 2950.17
-0.00401548 0.0930598 0.138356 0 2813.4
0.0426288 0.0432975 0.135846 0 6307.68
0.0305964 0.000919043 0.140991 0 4957.54
0.09068 -0.00212817 0.135807 0 15794
0.0422234 -0.0417938 0.137049 0 6228.15
0.00224102 -0.0282587 0.141247 0 2968.6
-0.00110193 -0.0928094 0.13926 0 2975.49
-0.0437875 -0.039114 0.13879 0 1351.16
-0.030003 0.000387667 0.141018 0 1706.37
-0.090644 0.00434461 0.138908 0 634.876
-0.0430706 0.0419995 0.142157 0 1354.91
0.000633835 -0.000255744 0.162805 0 2695.87
0.00278938 0.0588907 0.164227 0 2780.74
0.018794 0.0197038 0.163534 0 3685.83
0.0625858 0.0620711 0.164316 0 8725.51
0.0614226 0.000566786 0.163512 0 7986.09
0.0231507 -0.0227751 0.159663 0 4047.45
0.063441 -0.0619195 0.161858 0 8966.21
-0.00318844 -0.0622766 0.157427 0 2562.68
-0.0248196 -0.0199929 0.163371 0 1739.57
-0.064713 -0.0621252 0.161445 0 896.877
-0.0627984 9.42941e-05 0.16213 0 939.026
-0.0206003 0.0242048 0.16058 0 1885.64
-0.0635326 0.0625205 0.161251 0 914.565
-0.00389144 0.0300065 0.184014 0 2281.43
-0.000818746 0.0890669 0.183797 0 2558.5
0.0440543 0.042306 0.186926 0 5232.33
0.0303876 -0.000525502 0.185745 0 4084.91
0.0880215 -0.002519 0.186439 0 11551.5
0.0442059 -0.0432739 0.180948 0 5408.92
0.00103882 -0.0281304 0.185829 0 2461.37
0.00186725 -0.0882635 0.188699 0 2630.36
