x_position;y_position;z_position;angle_distance;count_exp;count_test;count_tuning;noisy_count;noisy_count_tuning
0.00625;-0.099804496;0.1;-0.606884911;4971.01;4970.02;4983.81;4960.871898;5009.97
0.00138846;-0.092410012;0.1;-0.556311168;4439.16;4440.1;4452.73;4435.598393;4457.95
-0.003093056;-0.08477922;0.1;-0.505737426;4098.26;4095.17;4108.77;4100.559331;4105.47
-0.00718309;-0.076931634;0.1;-0.455163683;3843.49;3845.44;3860.8;3837.290625;3847.07
-0.010871181;-0.068887322;0.1;-0.40458994;3654.11;3654.18;3668.17;3655.033963;3645.67
-0.014147899;-0.060666854;0.1;-0.354016198;3501.61;3505.87;3512.82;3497.162086;3491.37
-0.017004865;-0.052291252;0.1;-0.303442455;3380.14;3378.94;3394;3387.128206;3363.15
-0.019434773;-0.043781932;0.1;-0.252868713;3289.34;3291.53;3301.3;3290.512936;3271.72
-0.02143141;-0.035160655;0.1;-0.20229497;3229.82;3229.74;3241.01;3230.142774;3213.95
-0.022989669;-0.026449467;0.1;-0.151721228;3195.75;3196.28;3201.31;3195.084331;3174.53
-0.024105567;-0.017670643;0.1;-0.101147485;3171.96;3173.72;3185.92;3160.677943;3144.68
-0.024776249;-0.008846633;0.1;-0.050573743;3159.69;3157.03;3164.67;3153.128314;3135.55
-0.025;0;0.1;0;3153.64;3152.68;3162.24;3159.316534;3129.36
-0.024776249;0.008846633;0.1;0.050573743;3156.2;3157.08;3166.86;3152.955783;3130.85
-0.024105567;0.017670643;0.1;0.101147485;3166.88;3167.23;3181.89;3170.792962;3154.79
-0.022989669;0.026449467;0.1;0.151721228;3197.5;3195.19;3207.15;3200.949244;3173.88
-0.02143141;0.035160655;0.1;0.20229497;3225.52;3230.37;3245.86;3225.128854;3214.01
-0.019434773;0.043781932;0.1;0.252868713;3290.82;3285.47;3299.12;3291.056392;3269.93
-0.017004865;0.052291252;0.1;0.303442455;3381.99;3383.98;3395.18;3390.921438;3363.9
-0.014147899;0.060666854;0.1;0.354016198;3497.9;3501.74;3513.05;3495.049203;3488.18
-0.010871181;0.068887322;0.1;0.40458994;3655.39;3654.83;3668.35;3658.236269;3646.71
-0.00718309;0.076931634;0.1;0.455163683;3848.61;3846.9;3859.32;3853.54148;3843.99
-0.003093056;0.08477922;0.1;0.505737426;4098.45;4098.1;4110.92;4102.068043;4103.57
0.00138846;0.092410012;0.1;0.556311168;4436.88;4437.26;4456.46;4433.02474;4460.31
0.00625;0.099804496;0.1;0.606884911;4968.97;4968.82;4985;4961.620657;5014.03
0.006385934;0;0;-0.608245579;3986.83;3985.11;4000.53;3981.955602;3982.98
0.001503837;0;0.0074047;-0.557558447;3826.79;3825.21;3837.74;3822.613517;3817.86
-0.002996828;0;0.015047244;-0.506871316;3689.55;3686.37;3699.8;3688.483366;3681.66
-0.007104499;0;0.022908;-0.456184184;3566.69;3565.97;3582.08;3564.473457;3556.52
-0.010808626;0;0.030966778;-0.405497053;3465.23;3457.66;3473.45;3464.344828;3444.63
-0.014099695;0;0.039202877;-0.354809921;3371.72;3369.68;3385.1;3380.206134;3352.27
-0.016969251;0;0.047595141;-0.304122789;3296.09;3295.04;3304.66;3289.810865;3273.77
-0.019409924;0;0.056122015;-0.253435658;3235.49;3230.05;3248.19;3235.187933;3214.25
-0.021415445;0;0.064761595;-0.202748526;3194.39;3198.29;3210.62;3188.903104;3172.33
-0.022980662;0;0.073491689;-0.152061395;3171.95;3171.27;3190.29;3175.891615;3162.35
-0.024101555;0;0.082289874;-0.101374263;3163.02;3161.54;3177.13;3160.409278;3143.8
-0.024775244;0;0.09113355;-0.050687132;3153.84;3153.34;3166.2;3154.007024;3129.69
-0.025;0;0.1;0;3148.88;3152.07;3159.99;3146.469326;3128.28
-0.024775244;0;0.10886645;0.050687132;3158.93;3158.16;3167.23;3162.424919;3132.63
-0.024101555;0;0.117710126;0.101374263;3162.73;3159.56;3173.02;3166.66948;3140.64
-0.022980662;0;0.126508311;0.152061395;3177.69;3173.21;3188.73;3177.960887;3153.51
-0.021415445;0;0.135238405;0.202748526;3197.77;3201.11;3205.2;3197.086632;3175.57
-0.019409924;0;0.143877985;0.253435658;3234.62;3233.45;3244.84;3236.212707;3214.34
-0.016969251;0;0.152404859;0.304122789;3294.14;3292.34;3305.42;3289.723265;3278.17
-0.014099695;0;0.160797123;0.354809921;3370.59;3371.67;3382.94;3376.383056;3355.02
-0.010808626;0;0.169033222;0.405497053;3459.45;3459.92;3474.08;3456.314972;3449.33
