x_position;y_position;z_position;angle_distance;count_exp;noisy_count;count_tuning;noisy_count_tuning;count_tuning0;noisy_count_tuning0;;noisy_error;tuning_error;noisy_tuning_error;
0.025;-0.096824584;0.25;-0.50536051;6307.36;6303.455568;6440.57;6436.28;6233.93;6238.07;;0.000619028;0.021119771;0.020439613;-0.000680158
0.021078757;-0.089371073;0.25;-0.463247134;5015.5;5021.721444;5100.67;5087.98;4982.59;4984.32;;0.001240443;0.016981358;0.014451201;-0.002530157
0.01747479;-0.081759083;0.25;-0.421133759;4466.07;4464.473164;4529.57;4520.36;4447.45;4445.63;;0.000357548;0.014218317;0.012156101;-0.002062216
0.01419449;-0.074002111;0.25;-0.379020383;4105.3;4110.757904;4156.47;4144.05;4096.27;4102.84;;0.001329478;0.012464375;0.009439018;-0.003025357
0.011243674;-0.066113914;0.25;-0.336907007;3846.04;3846.288834;3885.6;3876.73;3844.21;3846.06;;6.46989E-05;0.010285904;0.007979636;-0.002306268
0.008627576;-0.058108478;0.25;-0.294793631;3650.15;3653.428382;3681.08;3677.07;3653.31;3654.29;;0.00089815;0.008473624;0.007375039;-0.001098585
0.006350833;-0.05;0.25;-0.252680255;3500.26;3508.361848;3527.5;3520.89;3509.49;3506.84;;0.002314642;0.007782279;0.005893848;-0.001888431
0.004417483;-0.041802858;0.25;-0.210566879;3388.66;3392.773283;3407.53;3404.73;3395.39;3393.96;;0.001213838;0.005568573;0.004742288;-0.000826285
0.002830954;-0.033531589;0.25;-0.168453503;3314.42;3306.861457;3336.36;3328.8;3322.94;3326.56;;0.002280502;0.006619559;0.004338617;-0.002280942
0.001594061;-0.025200858;0.25;-0.126340128;3265.94;3263.05168;3277.35;3277.45;3274.45;3274.63;;0.000884376;0.003493634;0.003524253;3.06191E-05
0.000708995;-0.01682544;0.25;-0.084226752;3230.5;3229.169271;3249.52;3241.09;3245.2;3247.04;;0.000411927;0.005887633;0.00327813;-0.002609503
0.000177327;-0.008420186;0.25;-0.042113376;3212.57;3208.945648;3227.57;3222.56;3223.12;3223.74;;0.001128178;0.004669159;0.00310966;-0.001559499
0;-1.11E-16;0.25;-5.55E-16;3205.09;3210.428246;3218.08;3214.46;3219.16;3218.96;;0.001665553;0.004052928;0.002923475;-0.001129453
0.000177327;0.008420186;0.25;0.042113376;3212.23;3211.913861;3222.22;3219.96;3224.35;3222.2;;9.84172E-05;0.003109989;0.002406428;-0.000703561
0.000708995;0.01682544;0.25;0.084226752;3231.83;3231.162658;3248.28;3246.4;3246.78;3246.32;;0.000206491;0.005089995;0.004508282;-0.000581714
