real_x,real_y,real_z,x,y,z,x0,y0,z0,d,d0
0,0,0.05,-0.000457646,-0.000457646,0.0501563,0.000457646,0.000457646,0.0501563,0.000665803,0.000665803
0.00541784,0.008345478,0.052,0.0050341,0.00777998,0.0529688,0.0050341,0.00869527,0.0520313,0.00118555,0.000520177
0.002292795,0.013883195,0.054,0.00228823,0.014187,0.0539063,0.00228823,0.014187,0.0539063,0.000317988,0.000317988
-0.002619197,0.017033491,0.056,-0.00228823,0.0169329,0.0548438,-0.00228823,0.0169329,0.0557813,0.00120689,0.000409283
-0.008099402,0.0181769,0.058,-0.00777998,0.0178482,0.0576563,-0.00777998,0.0178482,0.0585938,0.000572934,0.000750086
-0.013536403,0.017656891,0.06,-0.0132717,0.0178482,0.0595313,-0.0132717,0.0178482,0.0604688,0.000571291,0.000571291
-0.018571855,0.015782465,0.062,-0.0187635,0.0160176,0.0614062,-0.0187635,0.0160176,0.0623438,0.000666741,0.000458441
-0.02298642,0.012830608,0.064,-0.0224246,0.0132717,0.0642187,-0.0233399,0.0123564,0.0642188,0.000747017,0.000630604
-0.026648126,0.009048612,0.066,-0.0270011,0.00869527,0.0660938,-0.0270011,0.00869527,0.0660938,0.000508161,0.000508161
-0.02948422,0.004656263,0.068,-0.0298024,0.00508972,0.0660937,-0.0274587,0.00549175,0.069375,0.00198064,0.00258674
-0.031463898,-0.000152094,0.07,-0.0320336,-0.000482927,0.0698438,-0.0309359,-0.000472815,0.0698438,0.000677055,0.000637245
-0.032586832,-0.005205608,0.072,-0.032881,-0.00542344,0.0717188,-0.032881,-0.00542344,0.0717188,0.000461619,0.000461619
-0.032875101,-0.010355083,0.074,-0.0326307,-0.0103538,0.0735938,-0.0326307,-0.0103538,0.0735938,0.000474084,0.000474084
-0.032367273,-0.015471252,0.076,-0.0323805,-0.0152842,0.0773437,-0.0323805,-0.0152842,0.0764063,0.00135677,0.000447424
-0.031113943,-0.020443154,0.078,-0.0312828,-0.0207659,0.0782812,-0.0312828,-0.0207659,0.0782812,0.000460159,0.000460159
-0.029174284,-0.025176599,0.08,-0.0296451,-0.0254486,0.0801562,-0.0288317,-0.0251705,0.0801562,0.000565752,0.000376605
-0.026613339,-0.029592739,0.082,-0.026374,-0.029638,0.0810937,-0.026374,-0.029638,0.0829687,0.000938409,0.000998898
-0.023499876,-0.033626713,0.084,-0.0230969,-0.0335962,0.0839062,-0.0230969,-0.0335962,0.0839062,0.000414829,0.000414829
-0.019904667,-0.037226391,0.086,-0.01938,-0.0374078,0.0839062,-0.01938,-0.0374078,0.0857813,0.00216609,0.000596652
-0.015899113,-0.040351186,0.088,-0.0157694,-0.0406866,0.0867188,-0.0157694,-0.0406866,0.0876562,0.00133077,0.000497497
-0.011554131,-0.042970944,0.09,-0.0114813,-0.0433397,0.0895312,-0.0114813,-0.0433397,0.0885938,0.000600836,0.00145562
-0.006939264,-0.045064916,0.092,-0.00675831,-0.0451954,0.0942187,-0.00675831,-0.0451954,0.0923437,0.00222994,0.000409789
-0.002121974,-0.046620781,0.094,-0.00187351,-0.0471655,0.0951562,-0.00187351,-0.0471655,0.0932812,0.00130204,0.000935419
0.002832927,-0.047633754,0.096,0.00317308,-0.0479986,0.0951562,0.00317308,-0.0479986,0.0951562,0.000980165,0.000980165
0.00786371,-0.048105738,0.098,0.00838148,-0.0480094,0.0979687,0.00838148,-0.0480094,0.0979687,0.000527588,0.000527588
0.012912065,-0.048044548,0.1,0.012442,-0.0481846,0.100781,0.012442,-0.0481846,0.0998438,0.000922464,0.000514784
